id,name,description,created_at,updated_at,slug
1,Soccer,The sport of soccer (called football in most of the world) is considered to be the world's most popular sport. In soccer there are two teams of eleven players. Soccer is played on a large grass field with a goal at each end. The object of the game is to get the soccer ball into the opposing team's goal.,2019-10-10 20:25:51 UTC,2019-10-10 20:25:51 UTC,soccer
2,Rugby,"Rugby or rugby football is a game played by two teams using an oval ball. Players try to score points by carrying the ball to their opponents' end of the field, or by kicking it over a bar fixed between two posts",2019-10-10 20:26:22 UTC,2019-10-10 20:26:22 UTC,rugby
3,Concert,"A concert is a live music performance in front of an audience. ... Informal names for a concert include show and gig. Regardless of the venue, musicians usually perform on a stage (if not actual then an area of the floor designated as such). Concerts often require live event support with professional audio equipment.",2019-10-10 20:26:58 UTC,2019-10-10 20:26:58 UTC,concert
4,Cricket,"Cricket is a sport which is played between two teams of eleven players each who score runs (points). This is done by hitting the ball across the boundary, or by running between two sets of three small, wooden posts called wickets. The wickets are at each end of a rectangle of short grass called 'the pitch'.",2019-10-10 20:27:19 UTC,2019-10-10 20:27:35 UTC,cricket
5,Festival,"A festival is an event ordinarily celebrated by a community and centering on some characteristic aspect of that community and its religion or cultures. It is often marked as a local or national holiday, mela, or eid. ... Food is such a vital resource that many festivals are associated with harvest time.",2019-10-10 20:28:14 UTC,2019-10-10 20:28:14 UTC,festival
6,Seminar,"A seminar is a form of academic instruction, either at an academic institution or offered by a commercial or professional organization. It has the function of bringing together small groups for recurring meetings, focusing each time on some particular subject, in which everyone present is requested to participate.",2019-10-10 20:29:09 UTC,2019-10-10 20:29:09 UTC,seminar
