id,name,description,address,start_time,end_time,ticket_link,expired,category_id,created_at,updated_at,slug
1,Soweto Derby - Orlando Pirates vs Kaizer Chiefs,The Soweto derby is a soccer rivalry between Premier Soccer League's Kaizer Chiefs and Orlando Pirates in South Africa and is considered one of the most fiercely contested matches in African football. It was first contested on 24 January 1970. Matches between the two rivals attract a large fanbase.,"Soccer City Ave, Nasrec, Johannesburg, 2147",2019-11-09 15:30:00 UTC,2019-11-09 18:30:00 UTC,https://tickets.computicket.com/event/kaizer_chiefs_vs_orlando_pirates/6951273,false,1,2019-10-10 20:33:24 UTC,2019-10-10 20:33:26 UTC,soweto-derby-orlando-pirates-vs-kaizer-chiefs-soccer-city-ave-nasrec-johannesburg-2147
2,Casper Nyovest fill up Royal Bafokeng,Cassper Nyovest has officially become the first South African hip-hop artist to ever hold a concert at the FNB Stadium and receive such an electrifying turn out. ... Two years ago the hitmaker announced that he would be attempting to fill up the Ticket Pro Dome in Johannesburg.,Rustenburg,2019-12-15 18:30:00 UTC,2019-12-16 06:33:00 UTC,https://tickets.computicket.com/event/cassper-fillup,false,3,2019-10-10 20:36:23 UTC,2019-10-10 20:36:24 UTC,casper-nyovest-fill-up-royal-bafokeng-rustenburg
